DATA STOCK OPNAME,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
DEPARTMEN : PACKAGING (FINISH GOOD),,,,,,,,,
2025-11-30 00:00:00,,,,,,,,,
NO,CUSTOMER,KODE SISTEM,Partner,NAMA,STOCK,HARGA JUAL,TOTAL Rp.,SUM,KODE IPOS
142,PT. SANOH INDONESIA,FG-SNH-00006,,BOX 575X550X340 SNI10,450,27342,12303900,,KRT00047
143,PT. SANOH INDONESIA,FG-SNH-00007,,BOX 500 X 330 X 240 (SNI 11),670,13485,9034950,,KRT00042
144,PT. SANOH INDONESIA,FG-SNH-00009,,BOX 1350 X 335 X 100 SNI 13,150,15345,2301750,,KRT00030
145,PT. SANOH INDONESIA,FG-SNH-00010,,BOX 530X460X315 SNI14,520,18135,9430200,,KRT00044
146,PT. SANOH INDONESIA,FG-SNH-00011,,BOX 695 X 265 X 180 SNI 15,285,10695,3048075,,KRT00050
147,PT. SANOH INDONESIA,FG-SNH-00014,,BOX 500X275X160 (SNI18),770,12560,9671200,,KRT00337
148,PT. SANOH INDONESIA,FG-SNH-00017,,BOX TOP FULL 1400 X 500 X 130 CARTON BOX (TOP FULL ) / SNI 23,245,39950,9787750,,KRT00084
149,PT. SANOH INDONESIA,FG-SNH-00019,,BOX TOP OPEN 1060X460X730 CARTON BOX (SNI22),300,59400,17820000,,KRT00085
150,PT. SANOH INDONESIA,FG-SNH-00025,,SIDE BOARD PRORECTOR SIKU 5,400,8277,3310800,,
151,PT. SANOH INDONESIA,FG-SNH-00028,,BOX 500 X 330 X 120 (SNI 17),260,16089,4183140,,KRT00041
152,PT. SANYING SANIGO,FG-BUM-00001,PT. SANYING SANIGO,KARTON SINGLE PLAY (330X250X120X170MM),1000,3590,3590000,3590000,KRT01684
153,PT. SIGMA PACK GEMILANG,FG-SIG-00003,PT. SIGMA PACK GEMILANG,CB.DPT-IC0G-M034 UK 570X190X190 K200/M125/K200 B/F,1300,6559,8526700,24855700,KRT03428
154,PT. SIGMA PACK GEMILANG,FG-SIG-00004,,KARTON BOX SUZUKI 14,130,11700,1521000,,KRT03720
155,PT. SIGMA PACK GEMILANG,FG-SIG-00008,,CARTON BOX EXPORT 4L45-FDR (FRONT DOOR) UK 965 X 385 X 570 MM K275/M150X3/K275 BC/F,5,165000,825000,,KRT01473
