Nama Cust,Tanggal,No PO,No Inv,No.,Kode Item,Nama Item,Jml,Satuan,Harga, Pot.  , Total , PPN , Total Akhir ,No FP,Ket
PT. EHWA INDONESIA,2/4/2026 9:21,PO2501-034,0477/JL/CKRG/0226,3,KRT02169,"OUTBOX SGA 14"" IP 3PCS (PM2223)","1,000.00",PCS,"3,977.00",0,"3,977,000.00",0," 3,977,000.00 ",,PO : PO2601-079                            DO : DLV-2602043805
PT. INDONESIA NIPPON SEIKI,2/4/2026 10:39,26440/TLJP/VGP/X/25,0676/JL/CKRG/0226,1,KRT02923,LAYER 690X390 MM M125/M125/125 BF + LAPIS PE FOAM T5MM,170.00,PCS,"14,200.00",0,"2,414,000.00"," 265,540.00 "," 2,679,540.00 ",04002600053009794,PO : 26440/TLJP/VGP/X/25             (DLV-2602140014)                         1. DLV-2602043833                       < 17389-090725                            2. DLV-2602043825                       < 17258-020725
PT. INDONESIA NIPPON SEIKI,2/4/2026 10:39,26440/TLJP/VGP/X/25,0676/JL/CKRG/0226,2,KRT03842,PARTISI STANDAR PAKING PCB ASSY K84 K150/M125/K150 BF,6.00,PCS,"13,780.00",0,"82,680.00"," 9,094.80 "," 91,774.80 ",04002600053009794,PO : 26440/TLJP/VGP/X/25             (DLV-2602140014)                         1. DLV-2602043833                       < 17389-090725                            2. DLV-2602043825                       < 17258-020725
PT. FUKOKU TOKAI RUBBER INDONESIA,2/4/2026 10:53,008-CM-B-0126,0395/JL/CKRG/0126,1,KRT02896,CARTON BOX (IND) 335X265X100MM,300.00,SHEET,"5,800.00",0,"1,740,000.00"," 191,400.00 "," 1,931,400.00 ",04022600023658591,PO : 008-CM-B-0126                       1. DLV-2601293707                       2. DLV-2601293710
PT. FUKOKU TOKAI RUBBER INDONESIA,2/4/2026 10:53,008-CM-B-0126,0395/JL/CKRG/0126,2,KRT01220,CARTON BOX POUNCH STRAPLES (WTB) 135X135X155MM (K150XM125X3/K150 BCF),700.00,SET,"2,100.00",0,"1,470,000.00"," 161,700.00 "," 1,631,700.00 ",04022600023658591,PO : 008-CM-B-0126                       1. DLV-2601293707                       2. DLV-2601293710
PT. FUKOKU TOKAI RUBBER INDONESIA,2/4/2026 10:53,008-CM-B-0126,0395/JL/CKRG/0126,3,KRT01425,BOX DPG-MC16-M100 315X315X235MM K150/M125X3/K150 CBF,100.00,SHEET,"7,000.00",0,"700,000.00"," 77,000.00 "," 777,000.00 ",04022600023658591,PO : 008-CM-B-0126                       1. DLV-2601293707                       2. DLV-2601293710
PT. INDONESIA NIPPON SEIKI,2/4/2026 11:03,27703/TLJ/VGP/XII/25,0679/JL/CKRG/0226,1,KRT01007,SIKU KARTON UK. 5X5X0.5CM (P=110CM),500.00,PCS,"6,353.00",0,"3,176,500.00"," 349,415.00 "," 3,525,915.00 ",04002600053009752,PO : 27703/TLJ/VGP/XII/25            (DLV-2602140016)                         1.DLV-2508271040                       2.DLV-2509011137                       3.DLV-2510071728                       4.DLV-2511142504                       5.DLV-2602033801                       6.DLV-2602043824                         < 16821-090625                             7.DLV-2602043826                        < 17983-190825                             8.DLV-2602023763                     9.DLV-2602023756                       
PT. INDONESIA NIPPON SEIKI,2/4/2026 11:03,27703/TLJ/VGP/XII/25,0679/JL/CKRG/0226,2,KRT01008,SIKU KARTON UK. 5X5X0.5CM (P=85CM),860.00,PCS,"4,935.00",0,"4,244,100.00"," 466,851.00 "," 4,710,951.00 ",04002600053009752,PO : 27703/TLJ/VGP/XII/25            (DLV-2602140016)                         1.DLV-2508271040                       2.DLV-2509011137                       3.DLV-2510071728                       4.DLV-2511142504                       5.DLV-2602033801                       6.DLV-2602043824                         < 16821-090625                             7.DLV-2602043826                        < 17983-190825                             8.DLV-2602023763                     9.DLV-2602023756                       
PT. INDONESIA NIPPON SEIKI,2/4/2026 11:03,27703/TLJ/VGP/XII/25,0679/JL/CKRG/0226,3,KRT00472,PARTISI UK 640X440X45 K150/M125/K150 C/F,180.00,PCS,"5,653.00",0,"1,017,540.00"," 111,929.40 "," 1,129,469.40 ",04002600053009752,PO : 27703/TLJ/VGP/XII/25            (DLV-2602140016)                         1.DLV-2508271040                       2.DLV-2509011137                       3.DLV-2510071728                       4.DLV-2511142504                       5.DLV-2602033801                       6.DLV-2602043824                         < 16821-090625                             7.DLV-2602043826                        < 17983-190825                             8.DLV-2602023763                     9.DLV-2602023756                       
PT. INDONESIA NIPPON SEIKI,2/4/2026 11:03,27703/TLJ/VGP/XII/25,0679/JL/CKRG/0226,4,KRT01647,BOX CARTON KPYV K150/M125/K165 650X450X165,200.00,PCS,"13,650.00",0,"2,730,000.00"," 300,300.00 "," 3,030,300.00 ",04002600053009752,PO : 27703/TLJ/VGP/XII/25            (DLV-2602140016)                         1.DLV-2508271040                       2.DLV-2509011137                       3.DLV-2510071728                       4.DLV-2511142504                       5.DLV-2602033801                       6.DLV-2602043824                         < 16821-090625                             7.DLV-2602043826                        < 17983-190825                             8.DLV-2602023763                     9.DLV-2602023756                       
PT. INDONESIA NIPPON SEIKI,2/4/2026 11:03,27703/TLJ/VGP/XII/25,0679/JL/CKRG/0226,5,KRT02925,BOX 700X400X200 MM K150/M125/K200 C/F K200/M125X3/K150 CBF + K200/M125/K200 CF,200.00,PCS,"13,300.00",0,"2,660,000.00"," 292,600.00 "," 2,952,600.00 ",04002600053009752,PO : 27703/TLJ/VGP/XII/25            (DLV-2602140016)                         1.DLV-2508271040                       2.DLV-2509011137                       3.DLV-2510071728                       4.DLV-2511142504                       5.DLV-2602033801                       6.DLV-2602043824                         < 16821-090625                             7.DLV-2602043826                        < 17983-190825                             8.DLV-2602023763                     9.DLV-2602023756                       
