Location From Description,Location From City,Location To Description,Location To City, Truck Type , Quoted Price ,
PABRIK WICA CIKARANG,CIKARANG,CIREBON,CIREBON, TRUCK BOX SEDANG (8- ," Rp2,500,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,CIREBON,CIREBON, WINGS BOX ," Rp4,485,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,DEMAK,DEMAK, TRUCK BOX KECIL (5-6 ," Rp2,760,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,DEMAK,DEMAK, TRUCK BOX SEDANG (8- ," Rp5,020,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,DEMAK,DEMAK, WINGS BOX ," Rp6,612,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,DEPOK,DEPOK, GRAND MAX BOX ," Rp655,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,DEPOK,DEPOK, TRUCK BOX CDE ," Rp822,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,DEPOK,DEPOK, TRUCK BOX KECIL (5-6 ," Rp920,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,DEPOK,DEPOK, TRUCK BOX SEDANG (8- ," Rp1,587,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,DEPOK,DEPOK, WINGS BOX ," Rp2,500,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,JAKARTA BARAT,JAKARTA BARAT, GRAND MAX BOX ," Rp614,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,JAKARTA BARAT,JAKARTA BARAT, TRUCK BOX CDE ," Rp719,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,JAKARTA BARAT,JAKARTA BARAT, TRUCK BOX KECIL (5-6 ," Rp891,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,JAKARTA BARAT,JAKARTA BARAT, TRUCK BOX SEDANG (8- ," Rp1,524,000.00 ",
