Nama Cust,Tanggal,No PO,No Inv,No.,Kode Item,Nama Item,Jml,Satuan,Harga,Pot. ,Total,PPN,Total Akhir,No FP,Ket
PT. KAWATA INDONESIA,46037.4062268519,KIPO26010118,0221/JL/CKRG/0126,2,TRM0001,ALCOHOL 100% (NB155),1,TIN,555000,0,555000,61050,616050,04002600008770824,PO : KIPO26010118                      DO : 12320-150126
PT. KAWATA INDONESIA,46037.4382986111,KIPO26010071,0189/JL/CKRG/0126,1,TRM2462,BOLT (BAUT L) M10XP1.5XL30MM (GALVANIZED)(NB391-1),300,PCS,2880,0,864000,95040,959040,04002600007147061,PO : KIPO26010071                       DO : 12318-1501226
PT. KAWATA INDONESIA,46043.4093634259,KIPO26010132,0255/JL/CKRG/0126,1,TRM0295,"BRONZE SWING CHECK VALVE 32A (1 1/4"") (CS067)",12,PCS,190000,0,2280000,250800,2530800,04012600011155204,PO : KIPO26010132                       DO :12328-210126
PT. KAWATA INDONESIA,46043.4093634259,KIPO26010132,0255/JL/CKRG/0126,2,TRM0010,"BRONZE SWING CHECK VALVE 25A(1"")  (CS066)",18,PCS,120000,0,2160000,237600,2397600,04012600011155204,PO : KIPO26010132                       DO :12328-210126
PT. KAWATA INDONESIA,46043.4093634259,KIPO26010132,0255/JL/CKRG/0126,3,TRM0126,"BRONZE SWING CHECK VALVE 40A(1 1/2"") (CS068)",20,PCS,220000,0,4400000,484000,4884000,04012600011155204,PO : KIPO26010132                       DO :12328-210126
PT. KAWATA INDONESIA,46045.4402662037,KIPO26010162,0315/JL/CKRG/0126,1,TRM0002,ACETONE (20LTR/TIN) (NB156),5,TIN,546000,0,2730000,300300,3030300,04002600013655260,PO : KIPO26010162                       DO : 12333-230126
PT. KAWATA INDONESIA,46048.3945138889,KIPO26010132,0346/JL/CKRG/0126,1,TRM0295,"BRONZE SWING CHECK VALVE 32A (1 1/4"") (CS067)",8,PCS,190000,0,1520000,167200,1687200,04002600015346691,PO : KIPO26010132                       DO : 12338-260126
PT. KAWATA INDONESIA,46048.3945138889,KIPO26010132,0346/JL/CKRG/0126,2,TRM0010,"BRONZE SWING CHECK VALVE 25A(1"")  (CS066)",32,PCS,120000,0,3840000,422400,4262400,04002600015346691,PO : KIPO26010132                       DO : 12338-260126
PT. KAWATA INDONESIA,46048.3945138889,KIPO26010132,0346/JL/CKRG/0126,3,TRM0353,"BRONZE SWING CHECK VALVE 50A(2"") (CS069)",30,PCS,434775,0,13043250,1434757.5,14478007.5,04002600015346691,PO : KIPO26010132                       DO : 12338-260126
PT. KAWATA INDONESIA,46048.3945138889,KIPO26010132,0346/JL/CKRG/0126,4,TRM0833,"BRONZE SWING CHECK VALVE 65A(2 1/2"") (CS070)",10,PCS,610000,0,6100000,671000,6771000,04002600015346691,PO : KIPO26010132                       DO : 12338-260126
PT. KAWATA INDONESIA,46048.4028009259,KIPO26010162,0345/JL/CKRG/0126,1,TRM0295,"BRONZE SWING CHECK VALVE 32A (1 1/4"") (CS067)",30,PCS,190000,0,5700000,627000,6327000,04012600015346711,PO : KIPO26010162                       DO : 12337-260126
PT. KAWATA INDONESIA,46048.4028009259,KIPO26010162,0345/JL/CKRG/0126,2,TRM0353,"BRONZE SWING CHECK VALVE 50A(2"") (CS069)",10,PCS,434775,0,4347750,478252.5,4826002.5,04012600015346711,PO : KIPO26010162                       DO : 12337-260126
PT. KAWATA INDONESIA,46049.3688425926,KIPO26010182,0353/JL/CKRG/0126,1,TRM0042,LEM EPOTEC (NB132),1,BOX,265000,0,265000,29150,294150,04002600016564624,PO : KIPO26010182                       DO : 123346-270126
PT. KAWATA INDONESIA,46049.3688425926,KIPO26010182,0353/JL/CKRG/0126,2,TRM0113,BOLT (BAUT L) M6XP1.0XL16MM (GALVANIZED) (NB030),1000,PCS,990,0,990000,108900,1098900,04002600016564624,PO : KIPO26010182                       DO : 123346-270126
PT. KAWATA INDONESIA,46049.3688425926,KIPO26010182,0353/JL/CKRG/0126,3,TRM0111,BOLT (BAUT L) M5XP0.8XL12MM (GALVANIZED) (NB008-1),500,PCS,1113,0,556500,61215,617715,04002600016564624,PO : KIPO26010182                       DO : 123346-270126
PT. KAWATA INDONESIA,46049.3688425926,KIPO26010182,0353/JL/CKRG/0126,4,TRM0341,BOLT (BAUT JP) M3XP0.3XL60MM (GALVANIZED) (NB319),1000,PCS,360,0,360000,39600,399600,04002600016564624,PO : KIPO26010182                       DO : 123346-270126
PT. KAWATA INDONESIA,46049.3688425926,KIPO26010182,0353/JL/CKRG/0126,5,TRM0299,BOLT (BAUT L) M8XP1.25XL20MM (GALVANIZED) (NB360),500,PCS,891,0,445500,49005,494505,04002600016564624,PO : KIPO26010182                       DO : 123346-270126
PT. KAWATA INDONESIA,46049.3688425926,KIPO26010182,0353/JL/CKRG/0126,6,TRM0545,BOLT (BAUT JT PHILIP) M5XP0.8XL10MM (GALVANIZED) (NC387),2000,PCS,238,0,476000,52360,528360,04002600016564624,PO : KIPO26010182                       DO : 123346-270126
PT. KAWATA INDONESIA,46049.3688425926,KIPO26010182,0353/JL/CKRG/0126,7,TRM0101,BOLT (BAUT JP) M5XP0.8XL10MM (SUS304) (NB575),1000,PCS,579,0,579000,63690,642690,04002600016564624,PO : KIPO26010182                       DO : 123346-270126
PT. KAWATA INDONESIA,46049.3688425926,KIPO26010182,0353/JL/CKRG/0126,8,TRM0114,BOLT (BAUT L) M6XP1.0XL20MM (SUS304) (NB204),500,PCS,1732,0,866000,95260,961260,04002600016564624,PO : KIPO26010182                       DO : 123346-270126
PT. KAWATA INDONESIA,46049.3688425926,KIPO26010182,0353/JL/CKRG/0126,9,TRM4486,BOLT(BAUT JT) M4XP0.7XL12MM (GALVANIZED) (NB180-1),1000,PCS,475,0,475000,52250,527250,04002600016564624,PO : KIPO26010182                       DO : 123346-270126
PT. KAWATA INDONESIA,46052.4140509259,KIPO26010162,0392/JL/CKRG/0126,1,TRM0353,"BRONZE SWING CHECK VALVE 50A(2"") (CS069)",10,PCS,434775,0,4347750,478252.5,4826002.5,04002600020339514,PO : KIPO26010162                      DO : 12351-300126
PT. MENARA CIPTA METALINDO,46036.437650463,A-26/MCM/PPIC/030,0258/JL/CKRG/0126,1,TRM1204,"DEMPUL, SAN POLAC (COPRSU053N)",8,PAIL,209250,0,1674000,184140,1858140,04002600011755398,PO : A-26/MCM/PPIC/030              1. 12315-140126                           2. 12302-120126
PT. SUBANG AUTOCOMP INDONESIA,46036.4851388889,SA26011 MM,0181/JL/CKRG/0126,1,TRM0172,KARET GELANG BESAR,10,KG,113850,0,1138500,125235,1263735,04002600006197874,PO : SA26011 MM                          DO : 12317-140126
PT. SUBANG AUTOCOMP INDONESIA,46038.5860763889,SUAI.TLJ-852512-001,0192/JL/CKRG/0126,1,TRM3454,KARET KUMIS TRANSPARAN 5CM (COKLAT),62,KG,205000,0,12710000,1398100,14108100,04002600013412878,PO : SUAI.TLJ-852512-001           DO : 12322-160126
"PT. SUPRAVISI RAMA OPTIK, MANUFACTURING",46037.5685300926,PO-000002596,0350/JL/CKRG/0126,1,TRM1389,SPONBON (CSUCMMS0020008),62500,PCS,55,0,3437500,378125,3815625,04002600019083925,PO : PO-000002596                      1. 12321-150126                           2. 12303-120126                           3. 12296-090126
"PT. SUPRAVISI RAMA OPTIK, MANUFACTURING",46041.3840509259,PO-000004079,0379/JL/CKRG/0126,1,TRM3217,LAMPU PHILIPS LED PANEL 40W,4,PCS,882000,0,3528000,388080,3916080,04002600019083943,PO : PO-000004079                       DO : 12322-190126
"PT. SUPRAVISI RAMA OPTIK, MANUFACTURING",46041.3946180556,PO-000004089,0380/JL/CKRG/0126,1,TRM1580,PLASTIK SAMPAH 90x120,150,PCK,15000,0,2250000,247500,2497500,04002600019083920,PO : PO-000004089                       DO : 12323-190126
"PT. SUPRAVISI RAMA OPTIK, MANUFACTURING",46041.3946180556,PO-000004089,0380/JL/CKRG/0126,2,TRM1799,THERMAL PAPER ROLL 80X140,20,ROL,77000,0,1540000,169400,1709400,04002600019083920,PO : PO-000004089                       DO : 12323-190126
"PT. SUPRAVISI RAMA OPTIK, MANUFACTURING",46041.3946180556,PO-000004089,0380/JL/CKRG/0126,3,TRM1715,SARUNG TANGAN KAIN KASAR,50,PCK,35000,0,1750000,192500,1942500,04002600019083920,PO : PO-000004089                       DO : 12323-190126
